team,player,role,club,costo,qt_a,qt_i,val_diff,fvm,fvm_scaled,auction_edge,apps_active,total_active_fv,total_fv,avg_active_fv,pct_fv_captured,roi_active,roi_total
U CAN U UP,Ederson D.S.,C,Atalanta,13.0,13.0,15.0,-2.0,30.0,15.0,2.0,28,181.0,187.5,6.46,0.9653,13.923076923076923,14.423076923076923
TEAM ASBOVE,Sucic P.,C,Inter,24.0,11.0,9.0,2.0,21.0,10.5,-13.5,16,105.5,162.5,6.59,0.6492,4.395833333333333,6.770833333333333
U CAN U UP,Ramadani,C,Lecce,2.0,8.0,6.0,2.0,13.0,6.5,4.5,4,27.5,91.5,6.88,0.3005,13.75,45.75
TEAM ASBOVE,Vergara,C,Napoli,5.0,8.0,1.0,7.0,12.0,6.0,1.0,3,18.0,30.5,6.0,0.5902,3.6,6.1
U CAN U UP,Ekkelenkamp,C,Udinese,7.0,14.0,10.0,4.0,51.0,25.5,18.5,10,70.0,83.0,7.0,0.8434,10.0,11.857142857142858
TEAM ASBOVE,Taylor K.,C,Lazio,12.0,14.0,14.0,0.0,52.0,26.0,14.0,9,62.5,86.5,6.94,0.7225,5.208333333333333,7.208333333333333
U CAN U UP,Raspadori,A,Atalanta,22.0,15.0,13.0,2.0,37.0,18.5,-3.5,5,35.0,75.0,7.0,0.4667,1.5909090909090908,3.409090909090909
TEAM ASBOVE,Morata,A,Como,6.0,2.0,18.0,-16.0,10.0,5.0,-1.0,2,10.5,26.0,5.25,0.4038,1.75,4.333333333333333
U CAN U UP,Colombo,A,Genoa,11.0,14.0,12.0,2.0,37.0,18.5,7.5,17,113.0,144.0,6.65,0.7847,10.272727272727273,13.090909090909092
TEAM ASBOVE,Martinez L.,A,Inter,127.0,33.0,34.0,-1.0,315.0,157.5,30.5,28,242.0,242.0,8.64,1.0,1.905511811023622,1.905511811023622
U CAN U UP,Hojlund,A,Napoli,64.0,27.0,24.0,3.0,213.0,106.5,42.5,32,245.0,250.5,7.66,0.978,3.828125,3.9140625
TEAM ASBOVE,Nkunku,A,Milan,49.0,18.0,20.0,-2.0,43.0,21.5,-27.5,21,146.5,174.5,6.98,0.8395,2.989795918367347,3.561224489795918
U CAN U UP,Sarr A.,A,Verona,2.0,4.0,8.0,-4.0,8.0,4.0,2.0,0,0.0,39.0,,0.0,0.0,19.5
TEAM ASBOVE,Openda,A,Juventus,34.0,4.0,22.0,-18.0,8.0,4.0,-30.0,8,49.0,85.0,6.12,0.5765,1.4411764705882353,2.5
