giornata,team,opponent,side,score_for,score_against,result,totale,module,modificatore_difesa,fattore_campo
28,11 CRISTANTE UNITED,U CAN U UP,away,1,2,L,71.5,433,1.0,
28,KKK,LABORATORIO DATI,home,2,2,D,73.0,343,,2.0
28,LABORATORIO DATI,KKK,away,2,2,D,76.0,433,0.5,
28,TEAM ZTOTTI,CUORE LAZIALE,home,2,0,W,74.5,433,0.5,2.0
28,CUORE LAZIALE,TEAM ZTOTTI,away,0,2,L,61.0,433,1.0,
28,TEAM JODIODDR,BTGCBUGC,home,3,2,W,79.0,442,1.0,2.0
28,BTGCBUGC,TEAM JODIODDR,away,2,3,L,72.0,532,2.0,
28,TEAM ASBOVE,PREMIER LEAGUE SLOPS,home,1,1,D,71.5,442,,2.0
28,PREMIER LEAGUE SLOPS,TEAM ASBOVE,away,1,1,D,70.5,433,1.0,
29,11 CRISTANTE UNITED,KKK,home,3,2,W,78.5,433,0.5,2.0
29,KKK,11 CRISTANTE UNITED,away,2,3,L,75.0,343,,
29,PREMIER LEAGUE SLOPS,TEAM JODIODDR,home,1,0,W,70.5,451,2.0,2.0
29,TEAM JODIODDR,PREMIER LEAGUE SLOPS,away,0,1,L,58.5,442,0.5,
29,BTGCBUGC,TEAM ZTOTTI,home,2,0,W,73.5,442,1.0,2.0
29,TEAM ZTOTTI,BTGCBUGC,away,0,2,L,62.5,433,0.5,
29,CUORE LAZIALE,U CAN U UP,home,2,2,D,72.0,433,0.5,2.0
29,U CAN U UP,CUORE LAZIALE,away,2,2,D,72.5,343,,
29,LABORATORIO DATI,TEAM ASBOVE,home,3,5,L,81.5,433,2.0,2.0
29,TEAM ASBOVE,LABORATORIO DATI,away,5,3,W,91.5,442,2.0,
30,TEAM ASBOVE,11 CRISTANTE UNITED,home,0,3,L,60.0,442,1.0,2.0
30,11 CRISTANTE UNITED,TEAM ASBOVE,away,3,0,W,80.0,433,0.5,
30,TEAM JODIODDR,LABORATORIO DATI,home,1,2,L,70.5,442,1.0,2.0
30,LABORATORIO DATI,TEAM JODIODDR,away,2,1,W,75.5,433,2.0,
30,KKK,CUORE LAZIALE,home,4,0,W,89.0,343,,2.0
30,CUORE LAZIALE,KKK,away,0,4,L,63.5,442,,
30,TEAM ZTOTTI,U CAN U UP,home,2,2,D,73.0,343,,2.0
30,U CAN U UP,TEAM ZTOTTI,away,2,2,D,77.0,343,,
30,BTGCBUGC,PREMIER LEAGUE SLOPS,home,4,1,W,85.5,442,0.5,2.0
30,PREMIER LEAGUE SLOPS,BTGCBUGC,away,1,4,L,69.0,442,1.0,
31,U CAN U UP,KKK,home,2,1,W,72.5,343,,2.0
31,KKK,U CAN U UP,away,1,2,L,69.0,343,,
31,LABORATORIO DATI,BTGCBUGC,home,3,0,W,79.0,433,1.0,2.0
31,BTGCBUGC,LABORATORIO DATI,away,0,3,L,63.0,442,0.5,
31,11 CRISTANTE UNITED,TEAM JODIODDR,home,4,1,W,84.0,433,0.5,2.0
31,TEAM JODIODDR,11 CRISTANTE UNITED,away,1,4,L,69.5,442,2.0,
31,PREMIER LEAGUE SLOPS,TEAM ZTOTTI,home,0,2,L,60.5,442,1.0,2.0
31,TEAM ZTOTTI,PREMIER LEAGUE SLOPS,away,2,0,W,72.0,451,0.5,
31,CUORE LAZIALE,TEAM ASBOVE,home,2,1,W,73.5,433,1.0,2.0
31,TEAM ASBOVE,CUORE LAZIALE,away,1,2,L,66.5,442,0.5,
