giornata,team,opponent,side,score_for,score_against,result,totale,module,modificatore_difesa,fattore_campo
12,ASS ASS IN FC,TEAM HAIR FLICK,home,1,0,W,71.0,433,0.5,2.0
12,TEAM HAIR FLICK,ASS ASS IN FC,away,0,1,L,63.0,343,,
12,BOBOTOTTI,CHELSEA,home,0,3,L,64.5,343,,2.0
12,CHELSEA,BOBOTOTTI,away,3,0,W,83.5,433,1.0,
12,TEAM YANGTUO,TOMATO,home,4,1,W,85.5,433,1.0,2.0
12,TOMATO,TEAM YANGTUO,away,1,4,L,69.5,433,0.5,
13,PAUL POGSHAO,ASS ASS IN FC,home,2,2,D,76.5,442,2.0,2.0
13,ASS ASS IN FC,PAUL POGSHAO,away,2,2,D,72.5,343,,
13,TEAM HAIR FLICK,TEAM WOLFLING,home,1,2,L,71.0,343,,2.0
13,TEAM WOLFLING,TEAM HAIR FLICK,away,2,1,W,75.0,442,1.0,
13,TEAM GLIDER,TEAM YANGTUO,home,0,1,L,63.5,343,,2.0
13,TEAM YANGTUO,TEAM GLIDER,away,1,0,W,71.5,433,0.5,
13,TOMATO,BOBOTOTTI,home,1,0,W,66.0,442,1.0,2.0
13,BOBOTOTTI,TOMATO,away,0,1,L,59.5,343,,
13,CHELSEA,VINCENZO,home,3,2,W,78.5,433,1.0,2.0
13,VINCENZO,CHELSEA,away,2,3,L,73.5,433,1.0,
14,TEAM GLIDER,PAUL POGSHAO,home,3,1,W,81.0,343,,2.0
14,PAUL POGSHAO,TEAM GLIDER,away,1,3,L,67.0,442,2.0,
14,ASS ASS IN FC,CHELSEA,home,0,1,L,61.5,343,,2.0
14,CHELSEA,ASS ASS IN FC,away,1,0,W,69.0,433,1.0,
14,TEAM YANGTUO,BOBOTOTTI,home,3,0,W,82.5,442,1.0,2.0
14,BOBOTOTTI,TEAM YANGTUO,away,0,3,L,51.0,343,,
14,TEAM HAIR FLICK,VINCENZO,home,1,1,D,68.5,433,,2.0
14,VINCENZO,TEAM HAIR FLICK,away,1,1,D,71.0,433,2.0,
