giornata,team,opponent,side,score_for,score_against,result,totale,module,modificatore_difesa,fattore_campo
25,MARIO GO,X-17,home,2,1,W,73.5,343,,2.0
25,X-17,MARIO GO,away,1,2,L,69.0,442,0.5,
25,TEAM BRAUNA,TEAM CHENFENGZI,home,3,1,W,79.0,442,1.0,2.0
25,TEAM CHENFENGZI,TEAM BRAUNA,away,1,3,L,69.5,442,1.0,
26,BALZARETTI42,TEAM CHENFENGZI,home,1,1,D,69.0,442,0.5,2.0
26,TEAM CHENFENGZI,BALZARETTI42,away,1,1,D,68.0,433,2.0,
26,TEAM SITH,SANSHIMI,home,2,1,W,75.0,442,1.0,2.0
26,SANSHIMI,TEAM SITH,away,1,2,L,66.0,433,1.0,
26,X-17,BOSS ROMAZDA,home,2,1,W,76.5,343,,2.0
26,BOSS ROMAZDA,X-17,away,1,2,L,68.0,343,,
26,MIZI-MAIGO,TEAM BRAUNA,home,2,2,D,77.5,343,,2.0
26,TEAM BRAUNA,MIZI-MAIGO,away,2,2,D,75.0,433,1.0,
26,XIAO SHI,MARIO GO,home,2,3,L,76.5,451,1.0,2.0
26,MARIO GO,XIAO SHI,away,3,2,W,79.5,343,,
27,BOSS ROMAZDA,XIAO SHI,home,2,0,W,74.0,343,,2.0
27,XIAO SHI,BOSS ROMAZDA,away,0,2,L,60.5,442,0.5,
27,SANSHIMI,BALZARETTI42,home,1,2,L,70.5,433,0.5,2.0
27,BALZARETTI42,SANSHIMI,away,2,1,W,73.0,451,2.0,
27,TEAM CHENFENGZI,MIZI-MAIGO,home,3,0,W,79.0,433,1.0,2.0
27,MIZI-MAIGO,TEAM CHENFENGZI,away,0,3,L,63.0,343,,
27,MARIO GO,TEAM SITH,home,3,1,W,79.0,343,,2.0
27,TEAM SITH,MARIO GO,away,1,3,L,68.0,442,1.0,
27,TEAM BRAUNA,X-17,home,1,1,D,66.5,433,0.5,2.0
27,X-17,TEAM BRAUNA,away,1,1,D,71.0,343,,
